date,ICLN,PBW,QCLN
2009-08-20,-0.001391,0.009045,0.0069
2009-08-21,0.006756,0.013944,0.007692
2009-08-24,-0.003034,-0.007859,-0.003407
2009-08-25,0.005735,-0.012871,-0.002848
2009-08-26,-0.017163,0.002006,0.008373
2009-08-27,-0.003265,-0.004004,0.003193
2009-08-28,0.005802,0.013065,0.009941
2009-08-31,-0.016005,-0.021825,-0.02393
2009-09-01,-0.034988,-0.035497,-0.030217
2009-09-02,0.001965,0.003155,0.004448
2009-09-03,0.030802,0.026206,0.011503
2009-09-04,0.008947,0.0143,0.031827
2009-09-08,0.056953,0.047331,0.033214
2009-09-09,0.008012,0.007692,0.008667
2009-09-10,0.020741,0.016221,0.02193
2009-09-11,-0.011673,-0.007512,-0.016279
2009-09-14,-0.004374,0.006623,-0.002636
2009-09-15,0.029877,0.020677,0.020435
2009-09-16,0.02773,0.018416,0.020646
2009-09-17,-0.001665,0.004521,0.004456
2009-09-18,0.020374,0.007201,0.005041
2009-09-21,-0.019556,-0.008043,-0.00627
2009-09-22,0.015794,0.018919,0.00812
2009-09-23,-0.017889,-0.015915,-0.013067
2009-09-24,-0.034696,-0.031447,-0.027178
2009-09-25,-0.009495,-0.002783,-0.004648
2009-09-28,0.012418,0.019535,0.008513
2009-09-29,-0.007962,0.0,0.0
2009-09-30,0.008677,-0.009124,0.000909
2009-10-01,-0.049032,-0.051565,-0.054236
2009-10-02,-0.008141,-0.005825,-0.011524
2009-10-05,0.01067,0.014649,0.015961
2009-10-06,0.023696,0.020212,0.021175
2009-10-07,0.008718,0.004717,0.001338
2009-10-08,0.008433,0.015024,0.006012
2009-10-09,-0.013063,0.009251,0.02257
2009-10-12,0.017622,0.011916,0.015026
2009-10-13,-0.014232,-0.005435,-0.013518
2009-10-14,0.023628,0.009108,0.01297
2009-10-15,-0.011539,0.002708,-0.014149
2009-10-16,-0.018599,-0.016202,-0.014222
2009-10-19,0.01587,0.012809,0.016469
2009-10-20,-0.00521,-0.012647,-0.006481
2009-10-21,-0.006542,-0.007319,-0.007834
2009-10-22,0.007726,0.000922,-0.003281
2009-10-23,-0.032061,-0.014733,-0.025726
2009-10-26,-0.024752,-0.028037,-0.012187
2009-10-27,-0.005538,-0.010577,-0.018506
2009-10-28,-0.04594,-0.061225,-0.034909
2009-10-29,0.026751,0.044514,0.015912
2009-10-30,-0.032212,-0.041625,-0.033469
2009-11-02,-0.021048,-0.008273,-0.011061
2009-11-03,0.024275,0.01877,0.020864
2009-11-04,0.006077,-0.0174,-0.008686
2009-11-05,0.029112,0.038542,0.034092
2009-11-06,-0.008015,-0.002006,-0.009257
2009-11-09,0.034221,0.023116,0.024148
2009-11-10,-0.021599,-0.010806,-0.009558
2009-11-11,0.002818,0.003972,0.008942
2009-11-12,-0.022014,-0.029674,-0.023462
2009-11-13,0.029694,0.021407,0.024026
2009-11-16,0.02394,0.041916,0.031229
2009-11-17,-0.009757,-0.010536,-0.002772
2009-11-18,0.007161,0.002904,-0.001639
2009-11-19,-0.014028,-0.016409,-0.019152
2009-11-20,-0.005682,-0.006869,-0.01046
2009-11-23,0.003949,0.007905,0.01198
2009-11-24,-0.007057,-0.012745,-0.002786
2009-11-25,0.0127,0.010924,0.009078
2009-11-27,-0.016572,-0.020629,-0.012457
2009-11-30,0.0103,0.002006,0.001402
2009-12-01,0.014359,0.037037,0.033597
2009-12-02,0.003653,0.004826,0.010826
2009-12-03,0.00091,0.000961,0.008038
2009-12-04,-0.002727,0.002879,0.01196
2009-12-07,0.030082,0.022967,0.014708
2009-12-08,-0.015221,-0.007484,-0.009318
2009-12-09,-0.006515,-0.002828,0.003272
2009-12-10,-0.005925,-0.003781,-0.005215
2009-12-11,-0.000455,0.003795,-0.007199
2009-12-14,0.015931,0.017959,0.025709
2009-12-15,0.004924,0.005571,0.005141
2009-12-16,-0.003562,-0.00277,0.003197
2009-12-17,-0.021477,-0.009259,-0.014659
2009-12-18,-0.009145,0.004673,0.002587
2009-12-21,0.015081,0.027907,0.036774
2009-12-22,0.006043,0.004525,0.004356
2009-12-23,0.003648,0.003604,0.001735
2009-12-24,0.009982,0.000898,0.003835
2009-12-28,-0.004492,-0.001794,-0.005915
2009-12-29,0.004061,-0.004492,-0.004587
2009-12-30,-0.001438,0.006318,0.004103
2009-12-31,0.0018,-0.013453,-0.003467
2010-01-04,0.023902,0.031818,0.017424
2010-01-05,0.026766,0.011454,0.015291
2010-01-06,0.008547,0.014808,0.005422
2010-01-07,0.002203,-0.002575,0.0
2010-01-08,0.008794,0.012048,-0.002397
2010-01-11,0.006287,0.00085,0.007808
2010-01-12,-0.029988,-0.024639,-0.026669
2010-01-13,0.006956,-0.005226,-0.000153
2010-01-14,-0.026949,-0.021891,-0.02327
2010-01-15,-0.026486,-0.024172,-0.027586
2010-01-19,-0.006104,0.004587,0.005803
2010-01-20,-0.039855,-0.014612,-0.002038
2010-01-21,-0.02033,-0.031511,-0.021082
2010-01-22,-0.037026,-0.043062,-0.044619
2010-01-25,0.0125,0.014,0.009615
2010-01-26,0.0,-0.004931,0.0
2010-01-27,-0.018272,-0.005947,-0.003401
2010-01-28,-0.00835,-0.026919,-0.021843
2010-01-29,-0.024044,-0.020492,-0.022191
2010-02-01,0.032744,0.027197,0.0334
2010-02-02,0.006542,0.008147,0.008287
2010-02-03,0.0,-0.00101,0.00274
2010-02-04,-0.0595,-0.063701,-0.054652
2010-02-05,0.003721,0.00432,0.013013
2010-02-08,-0.024258,-0.016129,-0.009272
2010-02-09,0.029421,0.009836,0.010079
2010-02-10,-0.022886,0.010823,0.003564
2010-02-11,0.010793,0.022484,0.024894
2010-02-12,-0.002504,0.005236,0.007588
2010-02-16,0.034946,0.01875,0.024759
2010-02-17,-0.010659,0.002045,0.002013
2010-02-18,0.003142,0.003061,0.010047
2010-02-19,-0.020011,-0.013225,-0.016578
2010-02-22,-0.009359,-0.002062,-0.008092
2010-02-23,-0.030596,-0.022727,-0.027192
2010-02-24,-0.008306,-0.0074,0.001398
2010-02-25,-0.004467,0.01065,0.004187
2010-02-26,0.002804,-0.011591,-0.00467
2010-03-01,0.005034,0.017058,0.020052
2010-03-02,0.003339,0.007337,0.010774
2010-03-03,0.027177,0.008325,0.000176
2010-03-04,0.00486,-0.003096,0.005281
2010-03-05,0.013971,0.015528,0.013605
2010-03-08,-0.012189,-0.002039,-0.004917
2010-03-09,-0.007511,0.003064,-0.007078
2010-03-10,0.013519,0.008147,0.023537
2010-03-11,0.010128,0.013131,0.005913
2010-03-12,0.00264,0.002991,-0.00196
2010-03-15,-0.013586,-0.011929,-0.011119
2010-03-16,0.003096,0.004024,0.009762
2010-03-17,0.012773,0.006012,0.013869
2010-03-18,-0.019443,-0.012948,-0.010291
2010-03-19,-0.019829,-0.025227,-0.016982
2010-03-22,-0.004921,0.010352,0.007973
2010-03-23,0.013192,0.01332,0.021754
2010-03-24,-0.004344,-0.003033,-0.014194
2010-03-25,-0.003268,-0.01217,0.005236
2010-03-26,0.014754,0.01232,0.000521
2010-03-29,0.017232,0.010142,0.012754
2010-03-30,-0.002647,0.011044,0.008063
2010-03-31,0.0,-0.010924,-0.005539
2010-04-01,0.009023,0.004016,-0.00273
2010-04-05,0.004734,0.005,0.025071
2010-04-06,-0.001047,-0.00199,-0.003066
2010-04-07,0.0176,0.008973,0.011999
2010-04-08,-0.000865,0.002964,-0.00261
2010-04-09,-0.00201,-0.006897,-0.003078
2010-04-12,0.009194,0.002976,0.009462
2010-04-13,0.007268,0.003956,0.004581
2010-04-14,0.012195,0.009852,0.031061
2010-04-15,0.00753,0.018537,0.013748
2010-04-16,-0.027982,-0.021073,-0.023585
2010-04-19,-0.020422,-0.009785,-0.013285
2010-04-20,0.011512,0.018775,0.018972
2010-04-21,-0.01552,-0.00388,-0.02042
2010-04-22,0.0,0.008763,0.012263
2010-04-23,0.009459,0.009653,0.006057
2010-04-26,-0.011452,-0.006692,-0.00301
2010-04-27,-0.034755,-0.029836,-0.021944
2010-04-28,-0.008729,0.0,-0.001025
2010-04-29,0.039626,0.025794,0.032756
2010-04-30,-0.02594,-0.022244,-0.03386
2010-05-03,0.022283,0.019783,0.022039
2010-05-04,-0.049123,-0.047527,-0.047273
2010-05-05,-0.04059,-0.023422,-0.015942
2010-05-06,-0.04021,-0.051095,-0.047798
2010-05-07,-0.024894,-0.025275,-0.02444
2010-05-10,0.072478,0.067644,0.06277
2010-05-11,-0.024152,0.001056,-0.006679
2010-05-12,0.009043,0.023207,0.026368
2010-05-13,-0.021226,-0.005155,-0.007707
2010-05-14,-0.025301,-0.027979,-0.034304
2010-05-17,-0.026576,-0.010661,-0.006032
2010-05-18,-0.025397,-0.030172,-0.031693
