date,SHY
2009-04-27,0.001192
2009-04-28,-0.000952
2009-04-29,0.000477
2009-04-30,0.000834
2009-05-01,-0.000752
2009-05-04,-0.000239
2009-05-05,-0.000239
2009-05-06,0.000597
2009-05-07,-0.001432
2009-05-08,0.000717
2009-05-11,0.001671
2009-05-12,-0.000119
2009-05-13,0.000477
2009-05-14,0.000357
2009-05-15,-0.000119
2009-05-18,-0.000953
2009-05-19,0.000596
2009-05-20,0.001311
2009-05-21,-0.001285
2009-05-22,0.000215
2009-05-26,-0.00131
2009-05-27,-0.000239
2009-05-28,-0.000119
2009-05-29,0.001432
2009-06-01,-0.000824
2009-06-02,-0.000358
2009-06-03,0.001788
2009-06-04,-0.000949
2009-06-05,-0.006566
2009-06-08,-0.002644
2009-06-09,0.002275
2009-06-10,-0.000106
2009-06-11,0.000121
2009-06-12,0.00108
2009-06-15,0.000722
2009-06-16,0.00108
2009-06-17,0.001079
2009-06-18,-0.001676
2009-06-19,0.000622
2009-06-22,0.001296
2009-06-23,0.0
2009-06-24,-0.00012
2009-06-25,0.001916
2009-06-26,0.000478
2009-06-29,0.0
2009-06-30,-0.000119
2009-07-01,0.000982
2009-07-02,0.001075
2009-07-06,0.000358
2009-07-07,-0.000119
2009-07-08,0.001551
2009-07-09,-0.000477
2009-07-10,0.000954
2009-07-13,-0.000595
2009-07-14,-0.000715
2009-07-15,-0.002385
2009-07-16,0.001554
2009-07-17,-0.000358
2009-07-20,-0.000119
2009-07-21,0.001194
2009-07-22,-0.000477
2009-07-23,-0.00179
2009-07-24,0.000598
2009-07-27,-0.000717
2009-07-28,-0.000646
2009-07-29,-0.00055
2009-07-30,0.00012
2009-07-31,0.001676
2009-08-03,-0.001413
2009-08-04,-0.000839
2009-08-05,-0.00036
2009-08-06,0.0
2009-08-07,-0.001679
2009-08-10,0.001562
2009-08-11,0.00108
2009-08-12,0.00036
2009-08-13,0.001677
2009-08-14,0.000718
2009-08-17,0.001076
2009-08-18,-0.000239
2009-08-19,0.000478
2009-08-20,-0.000239
2009-08-21,-0.001552
2009-08-24,0.001196
2009-08-25,0.0
2009-08-26,0.000597
2009-08-27,-0.000119
2009-08-28,0.001074
2009-08-31,0.000715
2009-09-01,0.000805
2009-09-02,0.001073
2009-09-03,-0.000953
2009-09-04,-0.000477
2009-09-08,0.000119
2009-09-09,0.000119
2009-09-10,0.000596
2009-09-11,-0.000357
2009-09-14,-0.000596
2009-09-15,0.000477
2009-09-16,-0.001311
2009-09-17,0.001433
2009-09-18,-0.000954
2009-09-21,0.000358
2009-09-22,-0.000239
2009-09-23,0.001551
2009-09-24,0.0003
2009-09-25,-0.000419
2009-09-28,-0.000119
2009-09-29,-0.000119
2009-09-30,0.001073
2009-10-01,0.001
2009-10-02,0.000357
2009-10-05,0.0
2009-10-06,-0.000595
2009-10-07,0.00131
2009-10-08,-0.000951
2009-10-09,-0.001429
2009-10-12,0.001192
2009-10-13,0.000595
2009-10-14,-0.001309
2009-10-15,-0.000596
2009-10-16,0.000565
2009-10-19,3.1e-05
2009-10-20,0.000477
2009-10-21,-0.000476
2009-10-22,0.000119
2009-10-23,-0.001668
2009-10-26,-0.001074
2009-10-27,0.002031
2009-10-28,0.001431
2009-10-29,-0.000833
2009-10-30,0.001192
2009-11-02,0.000121
2009-11-03,-0.000119
2009-11-04,-0.000119
2009-11-05,0.000954
2009-11-06,0.000715
2009-11-09,0.0
2009-11-10,-0.000238
