date,ICLN,PBW,QCLN,SPY,XLE
2009-04-17,-0.016359,0.004545,0.007559,0.006705,0.011713
2009-04-20,-0.087251,-0.075792,-0.063288,-0.041916,-0.048493
2009-04-21,0.033149,0.015912,0.020444,0.019537,0.019743
2009-04-22,0.00984,0.024096,0.029617,-0.006113,-0.010581
2009-04-23,0.024677,0.003529,-0.011844,0.009818,0.018658
2009-04-24,0.008269,0.001172,0.021404,0.015111,0.029037
2009-04-27,-0.035367,-0.004684,-0.013412,-0.009462,-0.018884
2009-04-28,-0.000531,-0.004706,-0.011045,-0.003145,0.002212
2009-04-29,0.06185,0.033097,0.04811,0.021269,0.027594
2009-04-30,0.053807,0.02746,0.036885,0.000343,-0.016541
2009-05-01,-0.002285,0.010022,0.003162,0.005376,0.032329
2009-05-04,0.084762,0.07828,0.078014,0.03402,0.039992
2009-05-05,0.000439,-0.007157,-0.001462,-0.003411,-0.013428
2009-05-06,0.039491,0.010299,0.012445,0.017346,0.038771
2009-05-07,-0.028662,-0.034659,-0.048445,-0.013903,-0.012905
2009-05-08,0.022989,0.022175,0.00152,0.023333,0.042639
2009-05-11,-0.015718,-0.008264,0.0,-0.018714,-0.030478
2009-05-12,-0.01079,-0.01875,-0.020713,-0.002959,0.006407
2009-05-13,-0.078534,-0.077495,-0.067948,-0.025173,-0.033055
2009-05-14,0.028883,0.03107,0.01995,0.00857,0.002862
2009-05-15,-0.008748,-0.023438,-0.00652,-0.008162,-0.021407
2009-05-18,0.019039,0.04,0.041838,0.028407,0.034583
2009-05-19,0.054214,0.023077,0.037008,-0.001206,0.004833
2009-05-20,0.017723,0.029001,0.017464,-0.006694,0.003407
2009-05-21,-0.018263,-0.018789,-0.03806,-0.014363,-0.029559
2009-05-22,-0.00692,-0.02234,-0.010861,-0.00213,0.000412
2009-05-26,0.012631,0.040261,0.037647,0.025612,0.021189
2009-05-27,0.014194,0.01569,0.02034,-0.017853,-0.010878
2009-05-28,-0.001272,0.009145,0.007475,0.01394,0.033198
2009-05-29,0.005096,0.018492,0.025,0.017708,0.018727
2009-06-01,0.040558,0.062124,0.049498,0.024208,0.036765
2009-06-02,-0.000812,-0.000943,-0.006945,0.000844,-0.002688
2009-06-03,-0.030069,-0.029273,-0.034994,-0.012652,-0.038476
2009-06-04,0.027231,0.044747,0.042796,0.009397,0.022577
2009-06-05,-0.00367,0.01676,-0.003413,0.000212,-0.008184
2009-06-08,-0.020057,-0.015568,-0.004125,-0.004125,-0.002303
2009-06-09,0.022974,0.026977,0.031702,0.005098,0.00981
2009-06-10,0.019559,0.019022,0.015364,-0.002536,0.008952
2009-06-11,0.01646,0.0,-0.001342,0.004449,0.020011
2009-06-12,-0.024429,-0.011556,-0.017102,0.002742,-0.009624
2009-06-15,-0.032431,-0.05036,-0.032172,-0.022928,-0.026537
2009-06-16,-0.003423,-0.014205,-0.022161,-0.013563,-0.021309
2009-06-17,-0.042513,-0.025937,-0.013456,-0.000982,-0.016281
2009-06-18,-0.002625,0.006903,-0.000718,0.007307,-0.003789
2009-06-19,0.025439,0.013712,0.013764,0.003678,-0.009936
2009-06-22,-0.058088,-0.06087,-0.05397,-0.029987,-0.04999
2009-06-23,0.012333,0.002058,-0.003026,0.000784,0.005989
