PERMNO,date,TICKER,COMNAM,CUSIP,PRC,VOL,RET
91827,2023-11-15,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,36.55000,314741,0.020950
91827,2023-11-16,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.70000,176410,-0.023256
91827,2023-11-17,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,36.03000,126704,0.009244
91827,2023-11-20,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,36.71000,158211,0.018873
91827,2023-11-21,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.86000,245684,-0.023154
91827,2023-11-22,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.88000,217192,0.000558
91827,2023-11-24,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.99000,61533,0.003066
91827,2023-11-27,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.52000,230304,-0.013059
91827,2023-11-28,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,36.29000,197703,0.021678
91827,2023-11-29,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,36.76000,395321,0.012951
91827,2023-11-30,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,36.60000,271345,-0.004353
91827,2023-12-01,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,38.02000,254350,0.038798
91827,2023-12-04,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,37.82000,230833,-0.005260
91827,2023-12-05,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,37.07000,264607,-0.019831
91827,2023-12-06,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,37.16000,219635,0.002428
91827,2023-12-07,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,37.76000,167837,0.016146
91827,2023-12-08,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,37.81000,321480,0.001324
91827,2023-12-11,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,37.91000,163912,0.002645
91827,2023-12-12,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,37.12000,431058,-0.020839
91827,2023-12-13,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,39.33000,370003,0.059537
91827,2023-12-14,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,42.34000,600270,0.076532
91827,2023-12-15,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,42.35000,273266,0.000236
91827,2023-12-18,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,42.04000,286094,-0.007320
91827,2023-12-19,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,43.06000,316510,0.024263
91827,2023-12-20,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,41.19000,236521,-0.043428
91827,2023-12-21,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,42.41000,415203,0.029619
91827,2023-12-22,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,42.50000,294759,0.004056
91827,2023-12-26,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,43.23000,374318,0.017176
91827,2023-12-27,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,43.25000,208164,0.000463
91827,2023-12-28,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,42.94000,246102,-0.007168
91827,2023-12-29,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,42.17000,277093,-0.017932
91827,2024-01-02,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,41.43000,445322,-0.017548
91827,2024-01-03,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,39.93000,255488,-0.036206
91827,2024-01-04,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,39.00000,270008,-0.023291
91827,2024-01-05,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,38.69000,241695,-0.007949
91827,2024-01-08,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,39.19000,293265,0.012923
91827,2024-01-09,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,38.77000,116584,-0.010717
91827,2024-01-10,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,38.31000,196400,-0.011865
91827,2024-01-11,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,37.48000,160444,-0.021665
91827,2024-01-12,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,36.76000,253808,-0.019210
91827,2024-01-16,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.90000,243374,-0.023395
91827,2024-01-17,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,34.98000,234803,-0.025627
91827,2024-01-18,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,34.81000,139492,-0.004860
91827,2024-01-19,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,34.86000,180712,0.001436
91827,2024-01-22,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.74000,191535,0.025244
91827,2024-01-23,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,36.26000,232826,0.014549
91827,2024-01-24,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.54000,240532,-0.019857
91827,2024-01-25,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.01000,399519,-0.014913
91827,2024-01-26,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,34.84000,192653,-0.004856
91827,2024-01-29,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,36.05000,179770,0.034730
91827,2024-01-30,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.48000,134884,-0.015811
91827,2024-01-31,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,34.71000,157702,-0.021702
91827,2024-02-01,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.34000,206792,0.018150
91827,2024-02-02,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,34.78000,143582,-0.015846
91827,2024-02-05,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,34.07000,221225,-0.020414
91827,2024-02-06,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,34.76000,181022,0.020252
91827,2024-02-07,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.35000,132736,0.016974
91827,2024-02-08,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.84000,143054,0.013861
91827,2024-02-09,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,36.68000,129729,0.023438
91827,2024-02-12,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,37.37000,255775,0.018811
91827,2024-02-13,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.44000,202204,-0.051646
91827,2024-02-14,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,36.72000,151831,0.036117
91827,2024-02-15,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,37.42000,241661,0.019063
91827,2024-02-16,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,37.05000,230461,-0.009888
91827,2024-02-20,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,36.17000,184988,-0.023752
91827,2024-02-21,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.73000,185784,-0.012165
91827,2024-02-22,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,34.32000,325935,-0.039463
91827,2024-02-23,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,33.51000,540078,-0.023601
91827,2024-02-26,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,34.09000,231007,0.017308
91827,2024-02-27,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,34.58000,140328,0.014374
91827,2024-02-28,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,34.61000,142330,0.000868
91827,2024-02-29,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.15000,153657,0.015602
91827,2024-03-01,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.84000,144086,0.019630
91827,2024-03-04,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,34.98000,186754,-0.023996
91827,2024-03-05,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,33.92000,166033,-0.030303
91827,2024-03-06,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,34.52000,163756,0.017689
91827,2024-03-07,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.45000,290813,0.026941
91827,2024-03-08,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.21000,222070,-0.006770
91827,2024-03-11,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,35.24000,465797,0.000852
91827,2024-03-12,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,34.67000,329173,-0.016175
91827,2024-03-13,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,33.96000,307035,-0.020479
91827,2024-03-14,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,32.74000,281738,-0.035925
91827,2024-03-15,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,32.61000,173772,-0.003971
91827,2024-03-18,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,32.88000,116052,0.008280
91827,2024-03-19,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,32.58000,124805,-0.009124
91827,2024-03-20,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,33.51000,207511,0.028545
91827,2024-03-21,QCLN,FIRST TRUST EXCHANGE TRADED FUND,33733E50,33.81000,182907,0.008953
